S1Real/ S1Imag/ S2Real/ S2Imag/ S3Real/ S3Imag/
    1.0000    0.0000    0.0769    0.2665    0.0769   -0.2665
    0.8827    0.4803    0.1186    0.2541    0.0437   -0.2624
    0.1474    0.2168    0.6087    0.8556    0.0195   -0.2529
    0.1506    0.1805    0.3037    1.0695    0.0017   -0.2420
    0.1446    0.1559    0.0301    1.1486   -0.0118   -0.2310
    0.1373    0.1391   -0.1912    1.1474   -0.0222   -0.2205
    0.1303    0.1270   -0.3617    1.1059   -0.0303   -0.2106
    0.1241    0.1177   -0.4906    1.0476   -0.0367   -0.2013
    0.1186    0.1103   -0.5882    0.9845   -0.0418   -0.1928
    0.1137    0.1043   -0.6625    0.9225   -0.0458   -0.1849
    0.1094    0.0992   -0.7198    0.8641   -0.0490   -0.1775
    0.1055    0.0949   -0.7645    0.8103   -0.0516   -0.1707
    0.1020    0.0912   -0.7999    0.7613   -0.0536   -0.1644
    0.0988    0.0879   -0.8282    0.7168   -0.0553   -0.1586
    0.0959    0.0850   -0.8511    0.6765   -0.0565   -0.1531
    0.0933    0.0824   -0.8699    0.6400   -0.0575   -0.1481
    0.0908    0.0800   -0.8854    0.6069   -0.0582   -0.1434
    0.0886    0.0779   -0.8984    0.5767   -0.0588   -0.1390
    0.0865    0.0759   -0.9094    0.5491   -0.0591   -0.1349
    0.0846    0.0741   -0.9187    0.5239   -0.0594   -0.1310
    0.0827    0.0724   -0.9266    0.5008   -0.0595   -0.1274
    0.0810    0.0709   -0.9335    0.4795   -0.0596   -0.1241
    0.0794    0.0694   -0.9395    0.4598   -0.0595   -0.1209
   -0.0594   -0.1179   -0.9447    0.4417    0.0779    0.0681
   -0.0593   -0.1150   -0.9492    0.4248    0.0765    0.0668
   -0.0591   -0.1124   -0.9533    0.4092    0.0751    0.0656
   -0.0588   -0.1098   -0.9568    0.3946    0.0739    0.0645
   -0.0586   -0.1074   -0.9600    0.3810    0.0727    0.0634
   -0.0583   -0.1052   -0.9629    0.3683    0.0715    0.0624
   -0.0580   -0.1030   -0.9654    0.3564    0.0704    0.0615
   -0.0576   -0.1010   -0.9677    0.3452    0.0694    0.0606
   -0.0573   -0.0990   -0.9698    0.3346    0.0683    0.0597
   -0.0569   -0.0971   -0.9717    0.3247    0.0674    0.0589
   -0.0566   -0.0954   -0.9734    0.3153    0.0665    0.0581
   -0.0562   -0.0937   -0.9749    0.3065    0.0656    0.0573
   -0.0558   -0.0921   -0.9764    0.2981    0.0647    0.0566
   -0.0555   -0.0905   -0.9777    0.2901    0.0639    0.0559
   -0.0551   -0.0890   -0.9789    0.2826    0.0631    0.0552
   -0.0547   -0.0876   -0.9800    0.2754    0.0624    0.0546
   -0.0544   -0.0862   -0.9810    0.2686    0.0616    0.0540
   -0.0540   -0.0849   -0.9820    0.2621    0.0609    0.0534
   -0.0536   -0.0836   -0.9828    0.2559    0.0603    0.0528
   -0.0533   -0.0824   -0.9837    0.2500    0.0596    0.0523
   -0.0529   -0.0812   -0.9844    0.2444    0.0590    0.0517
   -0.0525   -0.0801   -0.9851    0.2390    0.0584    0.0512
   -0.0522   -0.0790   -0.9858    0.2338    0.0578    0.0507
   -0.0518   -0.0780   -0.9864    0.2289    0.0572    0.0502
   -0.0515   -0.0770   -0.9870    0.2241    0.0566    0.0497
   -0.0511   -0.0760   -0.9875    0.2196    0.0561    0.0493
   -0.0508   -0.0750   -0.9880    0.2152    0.0555    0.0488
